date,n_vehicles,n_xos_units,full_service_possible,n_full,n_unserved,service_rate_pct,capex_cost,energy_cost,demand_cost,peak_win_cost,total_daily_cost,peak_grid_kw,infra_total_mid,cost_rank,is_worst10
2025-06-11,3,1,False,0,3,0.0,124.35,12.75,17.61,0.0,154.71,83.0,48500,178,False
2025-06-25,4,1,False,0,4,0.0,124.35,12.75,17.61,0.0,154.71,83.0,48500,179,False
2025-06-07,3,1,False,0,3,0.0,124.35,12.75,17.61,0.0,154.71,83.0,48500,180,False
2025-08-23,3,1,False,0,3,0.0,124.35,12.75,17.61,0.0,154.71,83.0,48500,181,False
2025-08-19,3,1,False,0,3,0.0,124.35,12.75,17.61,0.0,154.71,83.0,48500,182,False
2025-09-12,2,1,False,0,2,0.0,124.35,12.75,17.61,0.0,154.71,83.0,48500,183,False
2025-09-09,4,1,False,0,4,0.0,124.35,12.75,17.61,0.0,154.71,83.0,48500,184,False
2025-08-05,5,1,False,0,5,0.0,124.35,12.61,17.61,0.0,154.57,83.0,48500,185,False
2026-02-03,3,1,False,0,3,0.0,124.35,12.49,17.61,0.0,154.45,83.0,48500,186,False
2026-01-10,2,1,False,0,2,0.0,124.35,12.49,17.61,0.0,154.45,83.0,48500,187,False
2025-11-21,3,1,False,0,3,0.0,124.35,12.49,17.61,0.0,154.45,83.0,48500,188,False
2025-12-08,2,1,False,0,2,0.0,124.35,12.49,17.61,0.0,154.45,83.0,48500,189,False
2025-12-03,3,1,False,0,3,0.0,124.35,12.49,17.61,0.0,154.45,83.0,48500,190,False
2026-01-30,2,1,False,0,2,0.0,124.35,12.49,17.61,0.0,154.45,83.0,48500,191,False
2025-10-14,3,1,False,0,3,0.0,124.35,12.48,17.61,0.0,154.44,83.0,48500,192,False
2025-12-13,3,1,False,1,2,33.3,124.35,12.21,17.61,0.0,154.18,83.0,48500,193,False
2025-05-24,3,1,False,0,3,0.0,124.35,10.88,17.61,0.0,152.84,83.0,48500,194,False
2025-09-30,3,1,False,0,3,0.0,124.35,10.08,17.61,0.0,152.05,83.0,48500,195,False
2025-11-17,2,1,False,1,1,50.0,124.35,9.34,17.61,0.0,151.31,83.0,48500,196,False
2025-10-10,3,1,False,0,3,0.0,124.35,9.32,17.61,0.0,151.28,83.0,48500,197,False
2025-05-08,2,1,False,0,2,0.0,124.35,9.32,17.61,0.0,151.28,83.0,48500,198,False
2025-10-01,3,1,False,0,3,0.0,124.35,9.32,17.61,0.0,151.28,83.0,48500,199,False
2025-11-20,2,1,False,0,2,0.0,124.35,9.32,17.61,0.0,151.28,83.0,48500,200,False
2026-01-17,2,1,False,0,2,0.0,124.35,9.32,17.61,0.0,151.28,83.0,48500,201,False
2025-11-05,2,1,False,0,2,0.0,124.35,9.32,17.61,0.0,151.28,83.0,48500,202,False
2025-06-17,5,1,False,0,5,0.0,124.35,7.56,17.61,0.0,149.53,83.0,48500,203,False
2025-10-22,3,1,False,0,3,0.0,124.35,7.37,17.61,0.0,149.33,83.0,48500,204,False
2025-05-23,2,1,False,0,2,0.0,124.35,7.37,17.61,0.0,149.33,83.0,48500,205,False
2025-05-20,2,1,False,0,2,0.0,124.35,7.37,17.61,0.0,149.33,83.0,48500,206,False
2025-05-14,3,1,False,0,3,0.0,124.35,7.37,17.61,0.0,149.33,83.0,48500,207,False
2025-10-28,2,1,False,1,1,50.0,124.35,6.32,17.61,0.0,148.28,83.0,48500,208,False
2025-05-19,4,1,False,0,4,0.0,124.35,5.53,17.61,0.0,147.49,83.0,48500,209,False
2025-10-23,2,1,False,1,1,50.0,124.35,5.53,17.61,0.0,147.49,83.0,48500,210,False
2025-05-02,1,1,True,1,0,100.0,124.35,5.25,17.61,0.0,147.21,83.0,48500,211,False
2025-08-09,3,1,False,0,3,0.0,124.35,5.04,17.61,0.0,147.0,83.0,48500,212,False
2025-08-27,3,1,False,1,2,33.3,124.35,5.04,17.61,0.0,147.0,83.0,48500,213,False
2026-04-24,2,1,False,1,1,50.0,124.35,3.69,17.61,0.0,145.65,83.0,48500,214,False
2026-02-20,2,1,False,1,1,50.0,124.35,3.69,17.61,0.0,145.65,83.0,48500,215,False
2026-01-05,3,1,False,0,3,0.0,124.35,3.69,17.61,0.0,145.65,83.0,48500,216,False
2025-10-21,3,1,False,0,3,0.0,124.35,3.69,17.61,0.0,145.65,83.0,48500,217,False
2026-02-27,1,1,False,0,1,0.0,124.35,2.62,17.61,0.0,144.59,83.0,48500,218,False
2026-03-13,1,1,False,0,1,0.0,124.35,2.62,17.61,0.0,144.59,83.0,48500,219,False
2025-05-11,1,1,False,0,1,0.0,124.35,2.62,17.61,0.0,144.59,83.0,48500,220,False
2025-11-07,1,1,False,0,1,0.0,124.35,2.62,17.61,0.0,144.59,83.0,48500,221,False
2025-10-18,2,1,False,0,2,0.0,124.35,2.62,17.61,0.0,144.59,83.0,48500,222,False
2026-01-23,1,1,False,0,1,0.0,124.35,2.62,17.61,0.0,144.59,83.0,48500,223,False
2026-03-06,1,1,False,0,1,0.0,124.35,2.62,17.61,0.0,144.59,83.0,48500,224,False
2025-06-20,2,1,False,0,2,0.0,124.35,2.52,17.61,0.0,144.48,83.0,48500,225,False
2025-07-25,1,1,False,0,1,0.0,124.35,2.52,17.61,0.0,144.48,83.0,48500,226,False
2025-07-24,1,1,False,0,1,0.0,124.35,2.52,17.61,0.0,144.48,83.0,48500,227,False
