date,n_vehicles,n_xos_units,full_service_possible,n_full,n_unserved,service_rate_pct,capex_cost,energy_cost,demand_cost,peak_win_cost,total_daily_cost,peak_grid_kw,infra_total_mid,cost_rank,is_worst10
2025-05-01,25,1,False,4,21,16.0,124.35,187.77,17.61,27.18,356.9,83.0,48500,231,False
2025-09-29,28,1,False,3,25,10.7,124.35,187.35,17.61,27.18,356.49,83.0,48500,232,False
2026-04-30,31,1,False,4,27,12.9,124.35,179.23,17.61,27.18,348.37,83.0,48500,233,False
2025-07-18,25,1,False,3,22,12.0,124.35,166.2,17.61,27.18,335.34,83.0,48500,234,False
2026-02-09,26,1,False,5,21,19.2,124.35,162.38,17.61,27.18,331.52,83.0,48500,235,False
2025-07-16,27,1,False,2,25,7.4,124.35,160.96,17.61,27.18,330.09,83.0,48500,236,False
2025-05-10,7,2,False,2,5,28.6,237.75,52.48,35.22,0.0,325.45,166.0,57000,237,False
2026-02-13,8,1,False,4,4,50.0,124.35,147.46,17.61,27.18,316.6,83.0,48500,238,False
2025-05-23,22,1,False,4,18,18.2,124.35,145.94,17.61,27.18,315.08,83.0,48500,239,False
2026-04-28,26,1,False,3,23,11.5,124.35,138.55,17.61,27.18,307.69,83.0,48500,240,False
2026-03-02,20,1,False,4,16,20.0,124.35,132.78,17.61,27.18,301.92,83.0,48500,241,False
2026-04-07,23,1,False,4,19,17.4,124.35,128.85,17.61,27.18,297.98,83.0,48500,242,False
2026-03-09,23,1,False,2,21,8.7,124.35,126.74,17.61,27.18,295.87,83.0,48500,243,False
2026-02-24,25,1,False,3,22,12.0,124.35,122.25,17.61,27.18,291.39,83.0,48500,244,False
2025-12-01,21,1,False,3,18,14.3,124.35,119.19,17.61,27.18,288.32,83.0,48500,245,False
2025-11-06,22,1,False,3,19,13.6,124.35,115.28,17.61,27.18,284.42,83.0,48500,246,False
2026-04-08,13,1,False,3,10,23.1,124.35,115.1,17.61,27.18,284.23,83.0,48500,247,False
2026-02-19,24,1,False,2,22,8.3,124.35,100.01,17.61,27.18,269.15,83.0,48500,248,False
2025-11-19,24,1,False,3,21,12.5,124.35,98.17,17.61,27.18,267.3,83.0,48500,249,False
2026-04-21,26,1,False,1,25,3.8,124.35,92.73,17.61,27.18,261.87,83.0,48500,250,False
2025-10-30,11,1,False,3,8,27.3,124.35,88.66,17.61,27.18,257.8,83.0,48500,251,False
2025-11-25,22,1,False,1,21,4.5,124.35,76.46,17.61,27.18,245.6,83.0,48500,252,False
2026-01-04,9,1,False,1,8,11.1,124.35,96.07,17.61,0.0,238.03,83.0,48500,253,False
2026-03-06,5,1,False,2,3,40.0,124.35,61.27,17.61,27.18,230.41,83.0,48500,254,False
2025-06-08,4,1,False,2,2,50.0,124.35,86.37,17.61,0.0,228.33,83.0,48500,255,False
2026-03-28,6,1,False,3,3,50.0,124.35,77.23,17.61,0.0,219.19,83.0,48500,256,False
2026-04-12,6,1,False,2,4,33.3,124.35,75.25,17.61,0.0,217.21,83.0,48500,257,False
2026-04-03,4,1,False,2,2,50.0,124.35,43.24,17.61,27.18,212.37,83.0,48500,258,False
2025-06-21,7,1,False,1,6,14.3,124.35,70.29,17.61,0.0,212.25,83.0,48500,259,False
2025-06-28,4,1,False,2,2,50.0,124.35,65.21,17.61,0.0,207.18,83.0,48500,260,False
2025-06-07,3,1,False,1,2,33.3,124.35,63.48,17.61,0.0,205.44,83.0,48500,261,False
2026-03-14,10,1,False,1,9,10.0,124.35,62.98,17.61,0.0,204.94,83.0,48500,262,False
2025-07-13,3,1,False,1,2,33.3,124.35,54.68,17.61,0.0,196.64,83.0,48500,263,False
2026-01-01,2,1,False,1,1,50.0,124.35,19.82,17.61,27.18,188.96,83.0,48500,264,False
2025-10-19,6,1,False,0,6,0.0,124.35,46.19,17.61,0.0,188.15,83.0,48500,265,False
2026-03-01,2,1,False,1,1,50.0,124.35,45.46,17.61,0.0,187.43,83.0,48500,266,False
2025-12-26,8,1,False,0,8,0.0,124.35,17.81,17.61,27.18,186.94,83.0,48500,267,False
2025-07-12,2,1,False,1,1,50.0,124.35,44.26,17.61,0.0,186.22,83.0,48500,268,False
